timestamp,close,volume
2005-01-03,61.91,4084100.0
2005-01-04,61.96,4620700.0
2005-01-05,62.03,3847400.0
2005-01-06,62.25,4443800.0
2005-01-07,62.17,3286600.0
2005-01-10,62.13,3843000.0
2005-01-11,62.01,3744500.0
2005-01-12,61.18,5734600.0
2005-01-13,60.64,5356000.0
2005-01-14,60.69,5077500.0
2005-01-18,61.46,5039500.0
2005-01-19,61.0,3107700.0
2005-01-20,60.54,3450900.0
2005-01-21,60.12,3378900.0
2005-01-24,59.95,3984400.0
2005-01-25,60.33,3735300.0
2005-01-26,60.87,3639200.0
2005-01-27,60.43,3057900.0
2005-01-28,60.52,3039500.0
2005-01-31,61.3,3284900.0
2005-02-01,61.8,4017100.0
2005-02-02,60.78,4197300.0
2005-02-03,61.05,2835800.0
2005-02-04,60.98,2968800.0
2005-02-07,61.42,3538900.0
2005-02-08,61.44,3607600.0
2005-02-09,60.91,2834100.0
2005-02-10,60.43,4151900.0
2005-02-11,60.3,4537600.0
2005-02-14,61.31,3175500.0
2005-02-15,61.3,3944800.0
2005-02-16,60.76,3268100.0
2005-02-17,60.4,2953800.0
2005-02-18,59.81,4615200.0
2005-02-22,58.83,5353700.0
2005-02-23,59.49,5210000.0
2005-02-24,59.69,5731300.0
2005-02-25,59.9,3321100.0
2005-02-28,59.38,5143200.0
2005-03-01,59.85,3663400.0
2005-03-02,59.5,4078900.0
2005-03-03,59.41,3629300.0
2005-03-04,60.5,3591600.0
2005-03-07,60.73,3460700.0
2005-03-08,60.79,3331000.0
2005-03-09,59.74,4115600.0
2005-03-10,60.21,3343800.0
2005-03-11,59.8,3284400.0
2005-03-14,60.1,3967400.0
2005-03-15,59.98,3444200.0
2005-03-16,59.53,4021100.0
2005-03-17,59.6,3365700.0
2005-03-18,59.38,8019900.0
2005-03-21,59.19,3913700.0
2005-03-22,58.38,5077700.0
2005-03-23,58.74,4958200.0
2005-03-24,58.39,3458700.0
2005-03-28,58.87,3401700.0
2005-03-29,58.93,3419200.0
2005-03-30,59.7,3932300.0
2005-03-31,59.8,4425300.0
2005-04-01,59.43,5376200.0
2005-04-04,59.84,4858000.0
2005-04-05,59.68,2730100.0
2005-04-06,59.74,3286200.0
2005-04-07,59.88,3355600.0
2005-04-08,59.56,3661300.0
2005-04-11,60.0,2919100.0
2005-04-12,60.63,4750700.0
2005-04-13,60.22,4202200.0
2005-04-14,59.85,4050400.0
2005-04-15,59.13,4994600.0
2005-04-18,59.51,5582500.0
2005-04-19,58.93,5059600.0
2005-04-20,58.15,4647800.0
2005-04-21,58.67,5266000.0
2005-04-22,58.67,3161200.0
2005-04-25,59.15,3159700.0
2005-04-26,58.79,3454900.0
2005-04-27,59.51,4468500.0
2005-04-28,59.54,4463900.0
2005-04-29,59.94,4594800.0
2005-05-02,60.4,5251400.0
2005-05-03,60.29,4195300.0
2005-05-04,60.67,4291600.0
2005-05-05,60.25,3321800.0
2005-05-06,59.76,3524700.0
2005-05-09,60.22,3165600.0
