experiment,run_id,artifact_dir,manifest_path,git_sha,microalpha_version,python,platform,seed,config_path,config_sha256,dataset_id,unsafe_execution,unsafe_reasons,run_invalid,integrity_path,selection_window_start,selection_window_end,holdout_start,holdout_end,selected_model,holdout_metrics_path,holdout_manifest_path,headline_sharpe_ratio,headline_cagr,headline_max_drawdown,headline_ann_vol,headline_total_turnover,headline_traded_days,headline_num_trades,headline_final_equity
flagship_single,2025-10-26T05-41-06Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-41-06Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-41-06Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,5b72fe8abbeef85cd61718d29989c3f61322272d251c3796cc6315eef36b01f3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T05-42-03Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-42-03Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-42-03Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,5b72fe8abbeef85cd61718d29989c3f61322272d251c3796cc6315eef36b01f3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T05-42-28Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-42-28Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-42-28Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,5b72fe8abbeef85cd61718d29989c3f61322272d251c3796cc6315eef36b01f3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T05-52-40Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-52-40Z-0c9e68d,artifacts/flagship_single/2025-10-26T05-52-40Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,5b72fe8abbeef85cd61718d29989c3f61322272d251c3796cc6315eef36b01f3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T06-13-39Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-13-39Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-13-39Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,5b72fe8abbeef85cd61718d29989c3f61322272d251c3796cc6315eef36b01f3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T06-24-56Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-24-56Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-24-56Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,f1f1eeaed2ef3344c90a25c84763be053d79a037200192e95cf6dafa502e4f3b,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T06-36-12Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-36-12Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-36-12Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,f1f1eeaed2ef3344c90a25c84763be053d79a037200192e95cf6dafa502e4f3b,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T06-47-27Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-47-27Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-47-27Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,1a1d7cea4e1775e30d9f7bf194703c467fccf6c32cc030bfa30c512821f3e28d,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T06-57-37Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-57-37Z-0c9e68d,artifacts/flagship_single/2025-10-26T06-57-37Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,1a1d7cea4e1775e30d9f7bf194703c467fccf6c32cc030bfa30c512821f3e28d,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T07-20-36Z-0c9e68d,artifacts/flagship_single/2025-10-26T07-20-36Z-0c9e68d,artifacts/flagship_single/2025-10-26T07-20-36Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,ec20bbb7da50ebba6fcf32e7f5b1bb0237098774000c5cace91a6290b7980d6a,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T07-39-28Z-0c9e68d,artifacts/flagship_single/2025-10-26T07-39-28Z-0c9e68d,artifacts/flagship_single/2025-10-26T07-39-28Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,160a15e98bc517b7038cd26fe0f62c61b3cfb1df6ed97988d75a4924eb743328,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T08-41-05Z-0c9e68d,artifacts/flagship_single/2025-10-26T08-41-05Z-0c9e68d,artifacts/flagship_single/2025-10-26T08-41-05Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,ff4b55ba590fe2d6d1bda53eb14ebf21f1da52f92229faabb242cab8c399dae3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T15-11-32Z-0c9e68d,artifacts/flagship_single/2025-10-26T15-11-32Z-0c9e68d,artifacts/flagship_single/2025-10-26T15-11-32Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,ff4b55ba590fe2d6d1bda53eb14ebf21f1da52f92229faabb242cab8c399dae3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T16-00-03Z-0c9e68d,artifacts/flagship_single/2025-10-26T16-00-03Z-0c9e68d,artifacts/flagship_single/2025-10-26T16-00-03Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,ff4b55ba590fe2d6d1bda53eb14ebf21f1da52f92229faabb242cab8c399dae3,,,,,,,,,,,,,,,,,,,,
flagship_single,2025-10-26T19-20-30Z-0c9e68d,artifacts/flagship_single/2025-10-26T19-20-30Z-0c9e68d,artifacts/flagship_single/2025-10-26T19-20-30Z-0c9e68d/manifest.json,0c9e68d9bf7ce2d7758357f83a81dc96f74d7181,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,42,configs/flagship_mom.yaml,ff4b55ba590fe2d6d1bda53eb14ebf21f1da52f92229faabb242cab8c399dae3,,,,,,,,,,,,,,,,,,,,
mm_lob_same_tick,2025-12-23T22-00-05Z-ba5b480,artifacts/mm_lob_same_tick/2025-12-23T22-00-05Z-ba5b480,artifacts/mm_lob_same_tick/2025-12-23T22-00-05Z-ba5b480/manifest.json,ba5b48089091f6a858b065dd3a388b467dd67984,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,321,configs/mm_lob_same_tick.yaml,903879c3767170bf815f4efbe3d5c090b8352dce6a2c9ea634a8f4f458f2c8ce,,true,"[""same_bar_fills_enabled""]",false,artifacts/mm_lob_same_tick/2025-12-23T22-00-05Z-ba5b480/integrity.json,,,,,,,,,,,,,,,
sample_flagship,2025-10-30T18-04-23Z-b2dcbb6,artifacts/sample_flagship/2025-10-30T18-04-23Z-b2dcbb6,artifacts/sample_flagship/2025-10-30T18-04-23Z-b2dcbb6/manifest.json,b2dcbb6236d44eb1cfcec22dd9120eba0eec5653,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,123,configs/flagship_sample.yaml,c2cf8578eb736c050dbe5d89eb6db276feca7ec3af9aaba373945fd52bcc8e33,,,,,,,,,,,,,,,,,,,,
sample_flagship,2025-10-30T18-36-10Z-a4ab8e7,artifacts/sample_flagship/2025-10-30T18-36-10Z-a4ab8e7,artifacts/sample_flagship/2025-10-30T18-36-10Z-a4ab8e7/manifest.json,a4ab8e7d0a2c0e97efb39c18683ae38d690194b8,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,123,configs/flagship_sample.yaml,c2cf8578eb736c050dbe5d89eb6db276feca7ec3af9aaba373945fd52bcc8e33,,,,,,,,,,,,,,,,,,,,
sample_flagship,2025-10-30T18-39-31Z-a4ab8e7,artifacts/sample_flagship/2025-10-30T18-39-31Z-a4ab8e7,artifacts/sample_flagship/2025-10-30T18-39-31Z-a4ab8e7/manifest.json,a4ab8e7d0a2c0e97efb39c18683ae38d690194b8,0.1.0,"3.12.2 (v3.12.2:6abddd9f6a, Feb  6 2024, 17:02:06) [Clang 13.0.0 (clang-1300.0.29.30)]",macOS-26.0.1-arm64-arm-64bit,123,configs/flagship_sample.yaml,c2cf8578eb736c050dbe5d89eb6db276feca7ec3af9aaba373945fd52bcc8e33,,,,,,,,,,,,,,,,,,,,
