symbol,date,sector,adv_20,adv_63,adv_126,market_cap_proxy,close
AAPL,2024-01-02,Technology,85000000.00,85000000.00,85000000.00,16033550000.00,188.63
AMZN,2024-01-02,Consumer Discretionary,52000000.00,52000000.00,52000000.00,7995000000.00,153.75
GOOGL,2024-01-02,Communication Services,30000000.00,30000000.00,30000000.00,4167600000.00,138.92
MSFT,2024-01-02,Technology,60000000.00,60000000.00,60000000.00,20179200000.00,336.32
NVDA,2024-01-02,Technology,42000000.00,42000000.00,42000000.00,20523300000.00,488.65
TSLA,2024-01-02,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17125800000.00,251.85
AAPL,2024-01-03,Technology,85000000.00,85000000.00,85000000.00,15988500000.00,188.10
AMZN,2024-01-03,Consumer Discretionary,52000000.00,52000000.00,52000000.00,7961200000.00,153.10
GOOGL,2024-01-03,Communication Services,30000000.00,30000000.00,30000000.00,4149000000.00,138.30
MSFT,2024-01-03,Technology,60000000.00,60000000.00,60000000.00,20148600000.00,335.81
NVDA,2024-01-03,Technology,42000000.00,42000000.00,42000000.00,20464500000.00,487.25
TSLA,2024-01-03,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17027200000.00,250.40
AAPL,2024-01-04,Technology,85000000.00,85000000.00,85000000.00,16054800000.00,188.88
AMZN,2024-01-04,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8050640000.00,154.82
GOOGL,2024-01-04,Communication Services,30000000.00,30000000.00,30000000.00,4192200000.00,139.74
MSFT,2024-01-04,Technology,60000000.00,60000000.00,60000000.00,20335200000.00,338.92
NVDA,2024-01-04,Technology,42000000.00,42000000.00,42000000.00,20739600000.00,493.80
TSLA,2024-01-04,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17268600000.00,253.95
AAPL,2024-01-05,Technology,85000000.00,85000000.00,85000000.00,16162750000.00,190.15
AMZN,2024-01-05,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8125000000.00,156.25
GOOGL,2024-01-05,Communication Services,30000000.00,30000000.00,30000000.00,4226400000.00,140.88
MSFT,2024-01-05,Technology,60000000.00,60000000.00,60000000.00,20457000000.00,340.95
NVDA,2024-01-05,Technology,42000000.00,42000000.00,42000000.00,20911800000.00,497.90
TSLA,2024-01-05,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17459000000.00,256.75
AAPL,2024-01-08,Technology,85000000.00,85000000.00,85000000.00,16213750000.00,190.75
AMZN,2024-01-08,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8159840000.00,156.92
GOOGL,2024-01-08,Communication Services,30000000.00,30000000.00,30000000.00,4248600000.00,141.62
MSFT,2024-01-08,Technology,60000000.00,60000000.00,60000000.00,20571000000.00,342.85
NVDA,2024-01-08,Technology,42000000.00,42000000.00,42000000.00,21013440000.00,500.32
TSLA,2024-01-08,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17565760000.00,258.32
AAPL,2024-01-09,Technology,85000000.00,85000000.00,85000000.00,16309800000.00,191.88
AMZN,2024-01-09,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8188960000.00,157.48
GOOGL,2024-01-09,Communication Services,30000000.00,30000000.00,30000000.00,4265400000.00,142.18
MSFT,2024-01-09,Technology,60000000.00,60000000.00,60000000.00,20685600000.00,344.76
NVDA,2024-01-09,Technology,42000000.00,42000000.00,42000000.00,21162960000.00,503.88
TSLA,2024-01-09,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17744600000.00,260.95
AAPL,2024-01-10,Technology,85000000.00,85000000.00,85000000.00,16382900000.00,192.74
AMZN,2024-01-10,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8248240000.00,158.62
GOOGL,2024-01-10,Communication Services,30000000.00,30000000.00,30000000.00,4286400000.00,142.88
MSFT,2024-01-10,Technology,60000000.00,60000000.00,60000000.00,20752800000.00,345.88
NVDA,2024-01-10,Technology,42000000.00,42000000.00,42000000.00,21262500000.00,506.25
TSLA,2024-01-10,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17875840000.00,262.88
AAPL,2024-01-11,Technology,85000000.00,85000000.00,85000000.00,16328500000.00,192.10
AMZN,2024-01-11,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8261760000.00,158.88
GOOGL,2024-01-11,Communication Services,30000000.00,30000000.00,30000000.00,4288500000.00,142.95
MSFT,2024-01-11,Technology,60000000.00,60000000.00,60000000.00,20772000000.00,346.20
NVDA,2024-01-11,Technology,42000000.00,42000000.00,42000000.00,21282240000.00,506.72
TSLA,2024-01-11,Consumer Discretionary,68000000.00,68000000.00,68000000.00,17826200000.00,262.15
AAPL,2024-01-12,Technology,85000000.00,85000000.00,85000000.00,16428800000.00,193.28
AMZN,2024-01-12,Consumer Discretionary,52000000.00,52000000.00,52000000.00,8317400000.00,159.95
GOOGL,2024-01-12,Communication Services,30000000.00,30000000.00,30000000.00,4313400000.00,143.78
MSFT,2024-01-12,Technology,60000000.00,60000000.00,60000000.00,20853000000.00,347.55
NVDA,2024-01-12,Technology,42000000.00,42000000.00,42000000.00,21414960000.00,509.88
TSLA,2024-01-12,Consumer Discretionary,68000000.00,68000000.00,68000000.00,18018640000.00,264.98
