date,turnover,commission,half_spread,impact,total_cost,participation,realized_vol_at_decision,decision_weight,executed_weight,gross_return,net_return,stressed_return_5x_cost,signal_available_date,strategy_net,market,static_risk_matched,mkt_rf,rf
2017-01-03,0.029134895174,1.019721e-06,1.456745e-06,3.5165e-08,2.511631e-06,1.456745e-06,0.084017345148,1.190230419967,1.220344225229,0.010128857069,0.010126345439,0.010116298916,2016-12-30,0.010126345439,0.0083,0.005187520338,0.0083,0.0
2017-01-04,0.030113805261,1.053983e-06,1.50569e-06,3.6952e-08,2.596625e-06,1.50569e-06,0.086610128078,1.154599377913,1.190230419967,0.009402820318,0.009400223693,0.009389837192,2017-01-03,0.009400223693,0.0079,0.004937519358,0.0079,0.0
2017-01-05,0.035631042054,1.247086e-06,1.781552e-06,4.7558e-08,3.076197e-06,1.781552e-06,0.085102224245,1.175057419325,1.154599377913,-0.002424658694,-0.002427734891,-0.002440039679,2017-01-04,-0.002427734891,-0.0021,-0.001312505146,-0.0021,0.0
2017-01-06,0.020458041412,7.16031e-07,1.022902e-06,2.0691e-08,1.759625e-06,1.022902e-06,0.084466527605,1.183900923063,1.175057419325,0.003407666516,0.003405906892,0.003398868394,2017-01-05,0.003405906892,0.0029,0.001812507106,0.0029,0.0
2017-01-09,0.008843503739,3.09523e-07,4.42175e-07,5.881e-09,7.57578e-07,4.42175e-07,0.075733668678,1.32041668845,1.183900923063,-0.004380433415,-0.004381190994,-0.004384221307,2017-01-06,-0.004381190994,-0.0037,-0.002312509066,-0.0037,0.0
2017-01-10,0.136515765387,4.778052e-06,6.825788e-06,3.56664e-07,1.1960504e-05,6.825788e-06,0.075045433857,1.332526109316,1.32041668845,0.002112666702,0.002100706198,0.002052864181,2017-01-09,0.002100706198,0.0016,0.001000003921,0.0016,0.0
2017-01-11,0.012109420865,4.2383e-07,6.05471e-07,9.423e-09,1.038723e-06,6.05471e-07,0.074202348827,1.347666234034,1.332526109316,0.004130830939,0.004129792216,0.004125637322,2017-01-10,0.004129792216,0.0031,0.001937507596,0.0031,0.0
2017-01-12,0.015140124718,5.29904e-07,7.57006e-07,1.3173e-08,1.300083e-06,7.57006e-07,0.074202348827,1.347666234034,1.347666234034,-0.004042998702,-0.004044298786,-0.004049499119,2017-01-11,-0.004044298786,-0.003,-0.001875007351,-0.003,0.0
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.072063543389,1.387664209916,1.347666234034,0.003908232079,0.003908232079,0.003908232079,2017-01-12,0.003908232079,0.0029,0.001812507106,0.0029,0.0
2017-01-17,0.039997975882,1.399929e-06,1.999899e-06,5.6564e-08,3.456392e-06,1.999899e-06,0.068224587105,1.465747236336,1.387664209916,-0.006799554629,-0.006803011021,-0.00681683659,2017-01-13,-0.006803011021,-0.0049,-0.003062512007,-0.0049,0.0
2017-01-18,0.07808302642,2.732906e-06,3.904151e-06,1.54284e-07,6.791341e-06,3.904151e-06,0.06696549218,1.493306429105,1.465747236336,0.003517793367,0.003511002026,0.003483836663,2017-01-17,0.003511002026,0.0024,0.001500005881,0.0024,0.0
2017-01-19,0.02755919277,9.64572e-07,1.37796e-06,3.2351e-08,2.374882e-06,1.37796e-06,0.067872738058,1.473345600338,1.493306429105,-0.005674564431,-0.005676939313,-0.005686438841,2017-01-18,-0.005676939313,-0.0038,-0.002375009311,-0.0038,0.0
2017-01-20,0.019960828767,6.98629e-07,9.98041e-07,1.9941e-08,1.716612e-06,9.98041e-07,0.068371924062,1.462588648356,1.473345600338,0.004862040481,0.004860323869,0.004853457423,2017-01-19,0.004860323869,0.0033,0.002062508086,0.0033,0.0
2017-01-23,0.010756951982,3.76493e-07,5.37848e-07,7.889e-09,9.2223e-07,5.37848e-07,0.067438183334,1.482839469508,1.462588648356,-0.00424150708,-0.00424242931,-0.00424611823,2017-01-20,-0.00424242931,-0.0029,-0.001812507106,-0.0029,0.0
2017-01-24,0.020250821152,7.08779e-07,1.012541e-06,2.0377e-08,1.741697e-06,1.012541e-06,0.072519081233,1.378947420458,1.482839469508,0.01215928365,0.012157541953,0.012150575164,2017-01-23,0.012157541953,0.0082,0.005125020093,0.0082,0.0
2017-01-25,0.10389204905,3.636222e-06,5.194602e-06,2.36787e-07,9.067612e-06,5.194602e-06,0.076326666376,1.310158097407,1.378947420458,0.011583158332,0.01157409072,0.011537820274,2017-01-24,0.01157409072,0.0084,0.005250020583,0.0084,0.0
2017-01-26,0.06878932305,2.407626e-06,3.439466e-06,1.27575e-07,5.974668e-06,3.439466e-06,0.07650015873,1.307186830199,1.310158097407,-0.001310158097,-0.001316132765,-0.001340031436,2017-01-25,-0.001316132765,-0.001,-0.00062500245,-0.001,0.0
2017-01-27,0.002971267208,1.03994e-07,1.48563e-07,1.145e-09,2.53703e-07,1.48563e-07,0.076450618983,1.308033882923,1.307186830199,-0.001568624196,-0.001568877899,-0.001569892711,2017-01-26,-0.001568877899,-0.0012,-0.00075000294,-0.0012,0.0
2017-01-30,0.000847052724,2.9647e-08,4.2353e-08,1.74e-10,7.2174e-08,4.2353e-08,0.073911839376,1.35296321731,1.308033882923,-0.008894630404,-0.008894702578,-0.008894991273,2017-01-27,-0.008894702578,-0.0068,-0.004250016662,-0.0068,0.0
