fold,start,end,observations,strategy_return,strategy_sharpe,market_return,static_return,turnover,cost
2017,2017-01-03,2017-12-29,251,0.281625,2.506091,0.214327,0.129754,6.587744,0.000577
2018,2018-01-02,2018-12-31,251,-0.010428,-0.018687,-0.044268,-0.015217,7.599116,0.000664
2019,2019-01-02,2019-12-31,252,0.170907,1.489978,0.310185,0.197605,8.763055,0.000766
2020,2020-01-02,2020-12-31,253,0.137216,1.104695,0.24098,0.163492,6.269069,0.000546
2021,2021-01-04,2021-12-31,252,0.127094,1.100794,0.238552,0.145711,8.392019,0.000731
2022,2022-01-03,2022-12-30,251,-0.100489,-0.917893,-0.200265,-0.119565,3.868726,0.000334
2023,2023-01-03,2023-12-29,250,0.188707,1.697263,0.270953,0.186427,6.7247,0.000584
2024,2024-01-02,2024-12-31,252,0.178468,1.45143,0.248929,0.173377,8.529855,0.000746
2025,2025-01-02,2025-09-30,186,0.140961,1.230381,0.213452,0.155953,5.463199,0.000475
